SKU,UPC,Name,Wholesale Price,Retail Price, MAP Price 
JEPS120,790011030249,Jarro-Dophilus EPS  120 caps,$21.50 ,$39.95 ,$27.97 
JEPS,790011030201,Jarro-Dophilus EPS  60 caps,$13.00 ,$22.95 ,$16.07 
B12,790011180012,"Methyl B12, Methylcobalamin 100 lozenges",$6.00 ,$11.95 ,
BU240,790011040033,Bone-Up 240 caps,$15.00 ,$28.95 ,$20.27 
B5000,790011180043,"Methyl B12, Methylcobalamin 60 lozenges",$15.00 ,$29.95 ,
SIL200,790011140290,Milk Thistle 200 caps,$13.50 ,$26.95 ,
LU60,790011120254,Lutein 60 softgels,$9.00 ,$17.95 ,
CUR120,790011140764,Curcumin 95 120 caps,$22.00 ,$43.95 ,
CUR,790011140047,Curcumin 95 60 caps,$13.00 ,$25.95 ,
RICE70,790011210276,Brown Rice Protein 70% Vanilla Flavor 504 gm,$12.00 ,$20.95 ,
MK7,790011300014,MK-7 60 softgels,$12.00 ,$23.95 ,
SAC,790011030041,Saccharomyces Boulardii + MOS 90 caps,$13.50 ,$26.95 ,
QHAB120,790011060253,QH-Absorb 120 softgels,$40.00 ,$79.95 ,
B,790011010067,B-Right (Complex) 100 caps,$10.00 ,$19.95 ,
COCOV,790011160335,"Coconut Oil 100% Organic, Extra Virgin 16 fl oz",$10.00 ,$16.95 ,
COCOJ,790011160281,Coconut Oil 100% Organic 16 fl oz,$7.00 ,$11.95 ,
JD,790011030010,Jarro-Dophilus+FOS 100 caps,$10.00 ,$19.95 ,$13.97 
QHAB60,790011060192,QH-Absorb 60 softgels,$25.00 ,$49.95 ,
WNAT,790011210146,"Whey Protein, All Natural 908 gm",$23.00 ,$34.95 ,
FEM60,790011030300,Fem-Dophilus 60 caps,$21.00 ,$41.95 ,$29.37 
YUMJD,790011030218,Yum Yum Dophilus 60 tabs,$8.00 ,$15.95 ,$11.17 
GLRED,790011150398,Reduced Glutathione 60 caps,$20.50 ,$40.95 ,
D5000,790011300052,Vitamin D3 100 softgels,$6.50 ,$12.95 ,
SAM400,790011200208,SAM-e 400 30 tabs,$24.00 ,$39.95 ,
NEURO,790011560012,Neuro Optimizer 120 caps,$25.00 ,$49.95 ,$34.97 
FEM,790011030058,Fem-Dophilus 30 caps,$13.50 ,$26.95 ,$18.87 
ARG,790011150367,L-Arginine 100 tabs,$9.00 ,$17.95 ,
BTN,790011180050,Biotin 100 caps,$8.00 ,$15.95 ,
PLANT,790011218166,Optimal Plant Proteins 540 gm,$12.00 ,$21.95 ,
5MTHF,790011300069,Methyl Folate 60 caps,$5.00 ,$9.95 ,
SAM60,790011200161,SAM-e 200  60 tabs,$24.00 ,$39.95 ,
BU360,790011048053,Bone-Up - Value Size 360 caps,$22.50 ,$39.95 ,$27.97 
SUS,790011070016,N-A-C Sustain 100 tabs,$13.00 ,$25.95 ,$18.17 
COCOXVCAP,790011160472,"Coconut Oil 100% Organic, Extra Virgin, Softgels 120 softgels",$8.50 ,$16.95 ,
BU120,790011040019,Bone-Up 120 caps,$8.50 ,$16.95 ,$11.87 
TAU,790011150206,Taurine 100 caps,$6.50 ,$12.95 ,
KETO,790011150619,7-Keto DHEA 30 caps,$11.00 ,$21.95 ,
QA120,790011060185,Q-Absorb Co-Q10  120 softgels,$25.00 ,$49.95 ,
GCM240,790011190226,Glucosamine+Chondroitin+MSM 240 caps,$23.00 ,$45.95 ,
THE,790011150503,Theanine 60 caps,$8.00 ,$15.95 ,
MGUM,790011230076,Mastic Gum 60 caps,$16.00 ,$31.95 ,
BAB,790011030133,"Baby's Jarro Dophilus, 2.5oz 2.5 oz",$10.00 ,$19.95 ,$13.97 
WVAN,790011210030,"Whey Protein, Vanilla 908 gm",$23.00 ,$34.95 ,
JEPSHP,790011030409,Jarro-Dophilus EPS 30 caps,$20.00 ,$39.95 ,
HYAL,790011290186,Hyaluronic Acid  60 caps,$10.00 ,$19.95 ,
D2500,790011290421,Vitamin D3 100 softgels,$6.00 ,$11.95 ,
JDAF,790011030331,Allergen-Free Jarro-Dophilus? 60 caps,$10.00 ,$19.95 ,$13.97 
GTC,790011170075,Green Tea 100 caps,$6.50 ,$12.95 ,
HTP100,790011150435,5 HTP 60 caps,$14.00 ,$27.95 ,
SJD,790011030126,Jarro-Dophilus+ FOS 200 caps,$16.00 ,$29.95 ,$20.97 
NAC,790011070023,N-A-C  100 caps,$9.00 ,$17.95 ,
COCOV32,790011160403,"Coconut Oil 100% Organic, Extra Virgin 32 fl oz",$17.00 ,$28.50 ,
HCACAP,790011140870,"HCActive, Garcinia Cambogia 90 caps",$15.00 ,$29.95 ,
SILY,790011140030,Milk Thistle 100 caps,$7.50 ,$14.95 ,
LY,790011150046,L-Lysine 100 caps,$5.00 ,$9.95 ,
D1000,790011300038,Vitamin D3 100 softgels,$4.50 ,$8.95 ,
QH260,790011060260,QH-Absorb 60 softgels,$40.00 ,$79.95 ,
RYR,790011330011,Red Yeast Rice + CoQ10 120 caps,$15.00 ,$29.95 ,
ALA300,790011200109,Alpha Lipoic Sustain 60 tabs,$12.50 ,$24.95 ,$17.47 
ULTJD,790011030263,Ultra Jarro-Dophilus 60 caps,$21.00 ,$41.95 ,$29.37 
