brand,skucode,upc,Final Desc,wholesale_price,retail_price
7TH HEAVEN,KD8008,20083800032413,Face Mask Assorted Clip Strip 24 pc,43.2,2.99
7TH HEAVEN,KD8007,00083800032402,Assorted Face Masks Counter Display 72 pc,129.6,2.99
7TH HEAVEN,KD8006,10083800028686,Clean Up Mud Counter Display 12 pc,21.6,2.99
7TH HEAVEN,KD8001,10083800028679,Detox Mud Counter Display 12 pc,21.6,2.99
7TH HEAVEN,KD8002,10083800028693,Million Year Mud Counter Display 12 pc,21.6,2.99
7TH HEAVEN,KD8003,10083800028709,Miracle Mud Counter Display 12 pc,21.6,2.99
7TH HEAVEN,KD8004,10083800028716,Moroccan Clay Counter Display 12 pc,21.6,2.99
7TH HEAVEN,KD8005,10083800028723,White Thai Mud Counter Display 12 pc,21.6,2.99
A TO B CALM,AB0001,725515923377,A to B Calm Travel Pack .85 oz 10 servings 23 gm,3.81,6.35
A TO B CALM,AB0004,725515923407,A to B Calm can 144 servings 8 oz,15.57,25.95
A TO B CALM,AB0003,725515923391,A to B Calm can 288 servings 16 oz,25.17,41.95
A TO B CALM,AB0002,725515923384,A to B Calm can 60 servings 3.3 oz,10.17,16.95
ABRA THERAPEUTICS,TH0012,021204211016,Adaptogen Phytoserum 1 oz,13.5,22.5
ABRA THERAPEUTICS,TH0001,021204310016,Age Resistance Cream 2 oz,13,21.65
ABRA THERAPEUTICS,TH0002,021204310030,Alpha Enzyme Peel 1.2 oz,13,21.65
ABRA THERAPEUTICS,TH0003,021204310047,Alpha Night Therapy 1.2 oz,13,21.65
ABRA THERAPEUTICS,TH0061,021204140019,Aroma Therapeutics Blissful Harmony Bubble Bath 14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0062,021204140026,Aroma Therapeutics Deep Relaxation Bubble Bath 14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0063,021204140033,Aroma Therapeutics Divine Inspiration Bubble Bath 14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0064,021204140040,Aroma Therapeutics Mental Clarity Bubble Bath 14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0065,021204140057,Aroma Therapeutics Sensual Surrender Bubble Bath 14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0026,021204833003,Aromasaurus Rex Bath 16 oz,7.8,12.99
ABRA THERAPEUTICS,TH0079,021204833027,Aromasaurus Kids Bubble Bath Detox Grapefruit & Green Tea 20 oz,7.8,13
ABRA THERAPEUTICS,TH0081,021204833034,Aromasaurus Kids Bubble Bath Sleep Lavender & Tangerine 20 oz,7.8,13
ABRA THERAPEUTICS,TH0078,021204833010,Aromasaurus Kids Bubble Bath Cold & Flu Eucalyptus Lemon 20 oz,7.8,13
ABRA THERAPEUTICS,TH0066,021204140064,Aroma Therapeutics Vital Energy Bubble Bath 12 pc,8.4,13.99
ABRA THERAPEUTICS,TH0013,021204611014,Azulene Eye Elixir 0.5 oz,12,20
ABRA THERAPEUTICS,TH0067,021204142013,Aroma Therapeutics Blissful Harmony Body Scrub 10 oz,7.8,12.99
ABRA THERAPEUTICS,TH0068,021204142020,Aroma Therapeutics Deep Relaxation Body Scrub 10 oz,7.8,12.99
ABRA THERAPEUTICS,TH0069,021204142037,Aroma Therapeutics Divine Inspiration Body Scrub 10 oz,7.8,12.99
ABRA THERAPEUTICS,TH0070,021204142044,Aroma Therapeutics Mental Clarity Body Scrub 10 oz,7.8,12.99
ABRA THERAPEUTICS,TH0071,021204142051,Aroma Therapeutics Sensual Surrender Body Scrub 10 oz,7.8,12.99
ABRA THERAPEUTICS,TH0072,021204142068,Aroma Therapeutics Vital Energy Body Scrub 10 oz,7.8,12.99
ABRA THERAPEUTICS,TH0028,021204160017,Cellular Detox Bath 17 oz,8.4,13.99
ABRA THERAPEUTICS,TH0050,021204161014,Cellular Detox Lotion 16 oz,9.6,15.99
ABRA THERAPEUTICS,TH0051,021204168013,Cellular Detox Lotion 8 oz,6,9.99
ABRA THERAPEUTICS,TH0023,021204751017,Cellular Detox Body Scrub 10 oz,7.8,12.99
ABRA THERAPEUTICS,TH0015,021204211023,Cellular Gold Phytoserum 1 oz,13.5,22.5
ABRA THERAPEUTICS,TH0030,021204160000,Cold & Flu Bath 17 oz,8.4,13.99
ABRA THERAPEUTICS,TH0017,021204611038,Collagen Support Cream 1.2 oz,18,30
ABRA THERAPEUTICS,TH0018,021204611045,Complexion Clarifier Cream 1.2 oz,15,25
ABRA THERAPEUTICS,TH0005,021204310023,Daytime Defense Cream 2 oz,10,16.65
ABRA THERAPEUTICS,TH0006,021204310054,Detox Complexion Wash 4 oz,8,13.35
