brand,skucode,upc,description,verbose_description,size,wholesale_price,retail_price
7TH HEAVEN,KD8008,20083800032413,DISP FACEMSK CLIPSTRP.59OZ24PC,Face Mask Assorted Clip Strip,24 pc,43.2,2.99
7TH HEAVEN,KD8007,00083800032402,DISPC ASSRTD FACMASK .59OZ72PC,Assorted Face Masks Counter Display,72 pc,129.6,2.99
7TH HEAVEN,KD8006,10083800028686,DISPC CLEAN UP MUD .59OZ/12PC,Clean Up Mud Counter Display,12 pc,21.6,2.99
7TH HEAVEN,KD8001,10083800028679,DISPC DETOX MUD .59OZ/12PC,Detox Mud Counter Display,12 pc,21.6,2.99
7TH HEAVEN,KD8002,10083800028693,DISPC MILLIONYEAR MUD.59OZ12PC,Million Year Mud Counter Display,12 pc,21.6,2.99
7TH HEAVEN,KD8003,10083800028709,DISPC MIRACLE MUD .59OZ/12PC,Miracle Mud Counter Display,12 pc,21.6,2.99
7TH HEAVEN,KD8004,10083800028716,DISPC MOROCCAN CLAY .59OZ/12PC,Moroccan Clay Counter Display,12 pc,21.6,2.99
7TH HEAVEN,KD8005,10083800028723,DISPC WHITE THAI MUD .59OZ12PC,White Thai Mud Counter Display,12 pc,21.6,2.99
A TO B CALM,AB0001,725515923377,A TO B CALM 10 SER .85OZ,A to B Calm Travel Pack .85 oz 10 servings,23 gm,3.81,6.35
A TO B CALM,AB0004,725515923407,A TO B CALM 144 SER 8OZ,A to B Calm can 144 servings,8 oz,15.57,25.95
A TO B CALM,AB0003,725515923391,A TO B CALM 16 OZ CAN,A to B Calm can 288 servings,16 oz,25.17,41.95
A TO B CALM,AB0002,725515923384,A TO B CALM 60 SER 3.3OZ,A to B Calm can 60 servings,3.3 oz,10.17,16.95
ABRA THERAPEUTICS,TH0012,021204211016,ADAPTAGEN PHYTOSERUM 1OZ,Adaptogen Phytoserum,1 oz,13.5,22.5
ABRA THERAPEUTICS,TH0001,021204310016,AGE RESISTANCE CREAM 2OZ,Age Resistance Cream,2 oz,13,21.65
ABRA THERAPEUTICS,TH0002,021204310030,ALPHA ENZYME PEEL 1.2OZ,Alpha Enzyme Peel,1.2 oz,13,21.65
ABRA THERAPEUTICS,TH0003,021204310047,ALPHA NIGHT THERAPY 1.2OZ,Alpha Night Therapy,1.2 oz,13,21.65
ABRA THERAPEUTICS,TH0061,021204140019,AROMATHERPUTIC BBATH BLS HARMN,Aroma Therapeutics Blissful Harmony Bubble Bath,14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0062,021204140026,AROMATHERPUTIC BBATH DP RELAX ,Aroma Therapeutics Deep Relaxation Bubble Bath,14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0063,021204140033,AROMATHERPUTIC BBATH DVN INSPR,Aroma Therapeutics Divine Inspiration Bubble Bath,14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0064,021204140040,AROMATHERPUTIC BBATH MNTL CLRT,Aroma Therapeutics Mental Clarity Bubble Bath,14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0065,021204140057,AROMATHERPUTIC BBATH SNS SRNDR,Aroma Therapeutics Sensual Surrender Bubble Bath,14 oz,8.4,13.99
ABRA THERAPEUTICS,TH0026,021204833003,AROMSRS KIDS  BATH STRESS 20OZ,Aromasaurus Rex Bath,16 oz,7.8,12.99
ABRA THERAPEUTICS,TH0079,021204833027,AROMSRS KIDS BUB BATH DETOX 20,Aromasaurus Kids Bubble Bath Detox Grapefruit & Green Tea,20 oz,7.8,13
ABRA THERAPEUTICS,TH0081,021204833034,AROMSRS KIDS BUB BATH SLEEP 20,Aromasaurus Kids Bubble Bath Sleep Lavender & Tangerine,20 oz,7.8,13
ABRA THERAPEUTICS,TH0078,021204833010,AROMSRS KIDS BUB BATHCOLD & FL,Aromasaurus Kids Bubble Bath Cold & Flu Eucalyptus Lemon,20 oz,7.8,13
ABRA THERAPEUTICS,TH0066,021204140064,AROMTHERPUTC BBLBATH VTL ENRGY,Aroma Therapeutics Vital Energy Bubble Bath,12 pc,8.4,13.99
ABRA THERAPEUTICS,TH0013,021204611014,AZULENE EYE ELIXIR .5OZ,Azulene Eye Elixir,0.5 oz,12,20
ABRA THERAPEUTICS,TH0067,021204142013,BODY SCRUB BLISSFUL HARMONY 10,Aroma Therapeutics Blissful Harmony Body Scrub,10 oz,7.8,12.99
ABRA THERAPEUTICS,TH0068,021204142020,BODY SCRUB DEEP RELAXATION 10O,Aroma Therapeutics Deep Relaxation Body Scrub,10 oz,7.8,12.99
